รหัสนิสิต,คำนำหน้า,ชื่อ,นามสกุล,อีเมล,เบอร์โทร,คณะ,สาขา,ปีที่เข้า
6610450001,นาย,ปัณณวิชญ์,สมบูรณ์ศรี,pannawit.s@ku.ac.th,081-321-4567,วิศวกรรมศาสตร์,คอมพิวเตอร์,2566
6610450002,นางสาว,ณิชาภัทร,ลิ้มประเสริฐ,nichapat.l@ku.ac.th,082-432-5678,วิศวกรรมศาสตร์,คอมพิวเตอร์,2566
6610450003,นาย,จิรายุ,พงศ์พิพัฒน์,jirayu.p@ku.ac.th,083-543-6789,วิศวกรรมศาสตร์,คอมพิวเตอร์,2566
6610450004,นางสาว,พิชญาภา,เรืองอร่าม,pitchayapa.r@ku.ac.th,084-654-7890,วิศวกรรมศาสตร์,คอมพิวเตอร์,2566
6610450005,นาย,ภัทรดนัย,จิตรานนท์,patradanai.c@ku.ac.th,085-765-8901,วิศวกรรมศาสตร์,คอมพิวเตอร์,2566
6610450006,นางสาว,ศิริลักษณ์,ทิพย์สมบัติ,sirilak.t@ku.ac.th,086-876-9012,วิศวกรรมศาสตร์,คอมพิวเตอร์,2566
6610450007,นาย,กฤตยชญ์,อุดมทรัพย์,krittayot.u@ku.ac.th,087-987-0123,วิศวกรรมศาสตร์,คอมพิวเตอร์,2566
6610450008,นางสาว,ภัทราวดี,สุทธิประภา,pattrawadee.s@ku.ac.th,088-098-1234,วิศวกรรมศาสตร์,คอมพิวเตอร์,2566
6610450009,นาย,ชินวัตร,แก้วมณี,chinnawat.k@ku.ac.th,089-109-2345,วิศวกรรมศาสตร์,คอมพิวเตอร์,2566
6610450010,นางสาว,อัจฉราพร,ดีประเสริฐ,atcharaporn.d@ku.ac.th,090-210-3456,วิศวกรรมศาสตร์,คอมพิวเตอร์,2566
