รหัสนิสิต,คำนำหน้า,ชื่อ,นามสกุล,อีเมล,เบอร์โทร,คณะ,สาขา,ปีที่เข้า
6810450001,นาย,ธนพล,สว่างเนตร,thanapol.s@ku.ac.th,081-234-5678,วิศวกรรมศาสตร์,คอมพิวเตอร์,2568
6810450002,นางสาว,ปิยธิดา,จันทร์แก้ว,piyathida.c@ku.ac.th,082-345-6789,วิศวกรรมศาสตร์,คอมพิวเตอร์,2568
6810450003,นาย,กิตติพงศ์,รัตนประเสริฐ,kittipong.r@ku.ac.th,083-456-7890,วิศวกรรมศาสตร์,คอมพิวเตอร์,2568
6810450004,นางสาว,สุชาดา,วงศ์สุวรรณ,suchada.w@ku.ac.th,084-567-8901,วิศวกรรมศาสตร์,คอมพิวเตอร์,2568
6810450005,นาย,ภูมิพัฒน์,ศรีสมบูรณ์,pumipat.s@ku.ac.th,085-678-9012,วิศวกรรมศาสตร์,คอมพิวเตอร์,2568
6810450006,นางสาว,นันทิชา,พรหมมาศ,nanticha.p@ku.ac.th,086-789-0123,วิศวกรรมศาสตร์,คอมพิวเตอร์,2568
6810450007,นาย,วรเมธ,อัศวินทร์,woramet.a@ku.ac.th,087-890-1234,วิศวกรรมศาสตร์,คอมพิวเตอร์,2568
6810450008,นางสาว,พิมพ์ลภัส,เจริญสุข,pimlapat.c@ku.ac.th,088-901-2345,วิศวกรรมศาสตร์,คอมพิวเตอร์,2568
6810450009,นาย,ณัฐวุฒิ,แสงทองดี,natthawut.s@ku.ac.th,089-012-3456,วิศวกรรมศาสตร์,คอมพิวเตอร์,2568
6810450010,นางสาว,อรณิชา,มงคลชัย,onnicha.m@ku.ac.th,090-123-4567,วิศวกรรมศาสตร์,คอมพิวเตอร์,2568
