รหัสนิสิต,คำนำหน้า,ชื่อ,นามสกุล,อีเมล,เบอร์โทร,คณะ,สาขา,ปีที่เข้า
6510450001,นาย,วรากร,นิธิกุลวงศ์,warakorn.n@ku.ac.th,081-147-2580,วิศวกรรมศาสตร์,คอมพิวเตอร์,2565
6510450002,นางสาว,พัชรพร,ศิริมงคล,patcharaporn.s@ku.ac.th,082-258-3691,วิศวกรรมศาสตร์,คอมพิวเตอร์,2565
6510450003,นาย,สรวิชญ์,เพชรรัตน์,sorawit.p@ku.ac.th,083-369-4702,วิศวกรรมศาสตร์,คอมพิวเตอร์,2565
6510450004,นางสาว,ธัญวรัตน์,กิจเจริญ,thanwarat.k@ku.ac.th,084-470-5813,วิศวกรรมศาสตร์,คอมพิวเตอร์,2565
6510450005,นาย,พชรพล,ชัยวัฒนา,pacharapol.c@ku.ac.th,085-581-6924,วิศวกรรมศาสตร์,คอมพิวเตอร์,2565
6510450006,นางสาว,กานต์ธิดา,วัฒนศิลป์,kanthida.w@ku.ac.th,086-692-7035,วิศวกรรมศาสตร์,คอมพิวเตอร์,2565
6510450007,นาย,ธนกฤต,ภาคภูมิ,thanakrit.p@ku.ac.th,087-703-8146,วิศวกรรมศาสตร์,คอมพิวเตอร์,2565
6510450008,นางสาว,วรรณิดา,จงสมบูรณ์,wannida.j@ku.ac.th,088-814-9257,วิศวกรรมศาสตร์,คอมพิวเตอร์,2565
6510450009,นาย,ณภัทร,ธนสมบัติ,napat.t@ku.ac.th,089-925-0368,วิศวกรรมศาสตร์,คอมพิวเตอร์,2565
6510450010,นางสาว,สิริกัญญา,พัฒนะ,sirikanya.p@ku.ac.th,090-036-1479,วิศวกรรมศาสตร์,คอมพิวเตอร์,2565
