รหัสนิสิต,คำนำหน้า,ชื่อ,นามสกุล,อีเมล,เบอร์โทร,คณะ,สาขา,ปีที่เข้า
6410450001,นาย,เจษฎา,คงสวัสดิ์,jetsada.k@ku.ac.th,081-246-8135,วิศวกรรมศาสตร์,คอมพิวเตอร์,2564
6410450002,นางสาว,รุจิรา,พิทักษ์ธรรม,rujira.p@ku.ac.th,082-357-9246,วิศวกรรมศาสตร์,คอมพิวเตอร์,2564
6410450003,นาย,อภิสิทธิ์,เจริญผล,aphisit.c@ku.ac.th,083-468-0357,วิศวกรรมศาสตร์,คอมพิวเตอร์,2564
6410450004,นางสาว,ฐิตาภรณ์,อมรรัตน์,thitaporn.a@ku.ac.th,084-579-1468,วิศวกรรมศาสตร์,คอมพิวเตอร์,2564
6410450005,นาย,กรวิชญ์,ปัญญาวุฒิ,korawit.p@ku.ac.th,085-680-2579,วิศวกรรมศาสตร์,คอมพิวเตอร์,2564
6410450006,นางสาว,ปุณยนุช,สุขเกษม,punyanut.s@ku.ac.th,086-791-3680,วิศวกรรมศาสตร์,คอมพิวเตอร์,2564
6410450007,นาย,พงศ์ภรณ์,วิริยะกุล,pongporn.w@ku.ac.th,087-802-4791,วิศวกรรมศาสตร์,คอมพิวเตอร์,2564
6410450008,นางสาว,ชญานิศ,พลอยแก้ว,chayanit.p@ku.ac.th,088-913-5802,วิศวกรรมศาสตร์,คอมพิวเตอร์,2564
6410450009,นาย,ธรรมนูญ,ไพศาลสุข,thammanoon.p@ku.ac.th,089-024-6913,วิศวกรรมศาสตร์,คอมพิวเตอร์,2564
6410450010,นางสาว,อริสา,บุญนาค,arisa.b@ku.ac.th,090-135-7024,วิศวกรรมศาสตร์,คอมพิวเตอร์,2564
